B25070_010E,B08301_001E,B08301_010E,B28002_001E,B28002_004E,B19013_001E,B01003_001E,B03002_003E,B03002_004E,B03002_006E,B03002_012E,state,county,city_name,place
5901,69679,3299,55534,51335,85785,145919,99949,15521,11368,12740,37,135,Orange County (Baseline),
3694,26769,1882,19965,18458,85940,58919,38093,6082,7885,3991,37,,Chapel Hill,11800
1261,11818,1108,9182,8819,76933,21242,13828,2734,1922,1713,37,,Carrboro,10620
322,4441,69,3988,3751,86250,9534,7037,1185,223,762,37,,Hillsborough,31620
891,9149,66,7296,6394,78419,17899,10224,4370,791,963,37,,Mebane,42240
