Municipality,Raw Subpages,Cleaned Subpages,Raw Paragraphs,Cleaned Paragraphs,% Paragraphs Kept,Raw Words,Cleaned Words,% Words Kept
Carrboro,500,208,7569,1865,24.64,1243874,182325,14.66
Chapel Hill,267,212,6785,2062,30.39,757752,234561,30.95
Hillsborough,500,169,5607,2964,52.86,391621,255645,65.28
Mebane,500,203,4806,1320,27.47,350506,171739,49.0
Orange County,500,223,6621,1744,26.34,712161,166425,23.37
