Municipality,Raw Paragraphs,Cleaned Paragraphs,% Paragraphs Kept,Raw Words,Cleaned Words,% Words Kept
Carrboro,3282,772,23.52,528592,64249,12.15
Chapel Hill,2318,603,26.01,229100,45889,20.03
Hillsborough,2618,1331,50.84,169974,101256,59.57
Mebane,906,274,30.24,80594,25558,31.71
Orange County,1604,364,22.69,142756,25261,17.7
