city_name,total_population,median_income,pct_white,pct_black,pct_asian,pct_hispanic,pct_transit_commuters,pct_broadband_access,pct_severe_rent_burden,pct_rent_burden
Orange County (Baseline),145919,85785,68.5,10.64,7.79,8.73,4.73,92.44,30.11,49.84
Chapel Hill,58919,85940,64.65,10.32,13.38,6.77,7.03,92.45,36.99,56.14
Carrboro,21242,76933,65.1,12.87,9.05,8.06,9.38,96.05,24.31,44.37
Hillsborough,9534,86250,73.81,12.43,2.34,7.99,1.55,94.06,22.39,44.92
Mebane,17899,78419,57.12,24.41,4.42,5.38,0.72,87.64,27.77,49.27
